Media Name;Date;Article Tittle;Article Media;Precise Quote;Link Article
;;;"The “Deja Vu” singer paired the standout top with micro leather shorts from R & M Leathers, a brand known for its punk-adjacent staples.

But what really sold the look was her oversized studded belt, which distinctly felt like a callback to the kind of hardware-heavy accessories you’d find during your Hot Topic angst-filled era in high school.";;
;;;"Of course, no outfit of hers feels complete without her signature Dr. Martens, which she wore paired with fishnet tights from Wolford (they retail for just $55).

But even when she’s not stomping around in her chunky combat boots and is attending a much different kind of event, such as Wimbledon, Rodrigo has proven herself to be a definitive rock girly.

While a student of the art, she’s making the stage her own, and that is perhaps the most exciting part of it all.";;
Marie Claire;16 November 2024;"Olivia Rodrigo Lets Her Y2K Gucci Thong and Pencil Skirt Do the Talking at the Billboard Live Music Summit
The pop star gave her rare designer vintage look a sexy edge with exposed lingerie at the event.";Olivia Rodrigo doesn't mind one bit if you can see her underwear. In fact, that was kind of the point of her outfit at the Billboard Live Music Summit in Los Angeles on Thursday. Before collecting her award for touring artist of the year, the pop star pulled up to the 1 Hotel in West Hollywood wearing a pitch-perfect Y2K look packed with covetable vintage designer finds.;;https://www.marieclaire.com/fashion/olivia-rodrigo-gucci-thong-pencil-skirt/
;;;The crown jewel of the ensemble was an icy blue low-rise pencil skirt with a small slit in the back from Gucci’s Spring/Summer 1998 collection designed by Tom Ford. With an indelible sheen akin to glistening snow, the same baby blue silk satin was also used to create a jacket and trousers for the collection. Underneath the skirt, Rodrigo flashed a glimpse of her black patent leather G-string thong with rhinestone logo buckles. Both the exposed thong and her strappy cropped black tank top come from Tom Ford's Spring/Summer 1998 collection for Gucci as well. The two pieces are generally sold as a set along with a black bodycon skirt, per Ford's original runway styling. But I like Rodrigo's colorful remixed version of the look—most likely styled by Chloe and Chenelle Delgadillo—quite a lot.;;
;;;"Rodrigo accessorized the ensemble with Amina Muaddi black satin Mary Jane pumps, Tiffany & Co. white diamond knot earrings, and a matching diamond-encrusted Tiffany Knot ring. Her nails were painted a punchy red for a pop of color that complemented her signature brownish red glossy lip. The rest of her glam was similarly classic with her long brunette hair styled in a sleek blowout and her eyes framed with black cat-eye liner. Rodrigo has been a Glossier ambassador for years, so her razor-thin flick was probably created using the brand's Pro Tip liquid eyeliner.

";;
;;;In a post-naked dressing trend world, almost nothing feels shocking anymore. Nudity is practically encouraged at red carpet events, and the trend has even wormed its way into the everyday closets of women whose job descriptions don't include being a pop star. That said, there remains something irresistibly fun and alluring about an exposed thong peeking out from a celebrity's waistline. It may not be risqué, but the G-string still knows how to command attention.;;
Cosmopolitan;15 November 2024;"Olivia Rodrigo’s Tank Top, Pencil Skirt, and Bejeweled G-String Are Straight Out of the ‘00s
Iconic.";"Showing the straps of your underwear beneath a put-together outfit sounds like it should be a fashion faux pas. And yet, there was nothing chicer in the noughties than exposing your thong. Wearing the spaghetti-thin straps of your G-string (yes, it had to be a G-string; Brazilian undies wouldn’t have achieved the same ~lewk~) high up on your hips so they sat above the low-rise waistband of your skirts, jeans, and Juicy Couture velour sweatpants were the very definition of peak Y2K style.";;https://www.cosmopolitan.com/entertainment/celebs/a62919283/olivia-rodrigo-exposed-thong-y2k-outfit/
;;;"If the above triggers post-traumatic stress-inducing flashbacks, we suggest you stop reading now because Olivia Rodrigo has recreated this exact trend in her latest outfit. Stepping out at the Billboard Live Music Summit in Hollywood last night (November 14), the artist repped an ensemble that was straight out of the ‘00s. Obvi, of course, the entire thing is kinda ironic given the 21-year-old was just a bb at the height of the exposed thong’s sartorial reign.

";;
;;;Donning a cropped black tank top that featured double shoulder straps with buckle decoration and a pale blue metallic knee-length skirt, the straps of Olivia’s black G-string thong were clearly visible over the waistband of her pencil skirt. Crystal-embellished buckle straps adorning each side strap drew further attention to her underwear. Peep the bejeweled detailing for yourself:;;
;;;"In addition to nailing the Y2K trend, the musician’s blingy thong also perfectly coordinated with her silver stud earrings, which were enhanced with additional sparkle. Black square-toe satin Mary Jane heels completed the entire look and lended a further retro feel.

It’s the latest throwback look from Olivia, who recently wore a ‘90s black lace knit gown and a red patent leather lace-up mini. TL;DR: It’s safe to say we’re loving her style *so* much RN.";"In addition to nailing the Y2K trend, the musician’s blingy thong also perfectly coordinated with her silver stud earrings, which were enhanced with additional sparkle. Black square-toe satin Mary Jane heels completed the entire look and lended a further retro feel.

It’s the latest throwback look from Olivia, who recently wore a ‘90s black lace knit gown and a red patent leather lace-up mini. TL;DR: It’s safe to say we’re loving her style *so* much RN.";
Near;26 Februari 2025;Notes on a Gen Z Icon: A+ Digital Marketing Lessons to Learn from Olivia Rodrigo;"Every generation has artists who have gotten them through life’s happiest and angstiest moments – a musician whose albums they listen to while commuting, whose lyrics they have found themselves crying to at least a couple of points in their lives, and whose music they have posted on their social media to tell mutuals how much they can #relate.

Now that we’re well into the era ruled by Generation Z, it’s pretty clear who the reigning voice is and it is none other than Olivia Rodrigo. A peek into her colorful career gives brands, creators, and even marketers valuable lessons on how to market to today’s audience effectively.";;https://nearcreative.co/blog/gen-z-marketing-lessons-inspired-by-olivia-rodrigo
;;;"Authenticity on Steroids
From Sour to Guts, Olivia Rodrigo captured listeners worldwide for her confessional songwriting. Her songs are filled with honest expressions of heartache, anxiety, and the omnipresent fear of growing up. These big emotions are not exclusive to this generation, of course, but since her breakout, Olivia Rodrigo’s music has resonated with Gen Z because it touches their need for something that feels raw, unscripted, and genuine. And since the young musician is known to be deeply involved in the creative process of her albums, no one doubts that whatever she puts out truly comes from her heart.

Gen Z doesn’t just want to be entertained. They crave content that feels honest and real, and not like someone is trying to sell them something.";;
;;;"Affinity for Nostalgia
If you’re a millennial who has felt a connection to Olivia Rodrigo’s music because of how much it reminds you of what you listened to growing up, then you’re not alone. The Fil-Am musician draws influences from the likes of millennial favorites Paramore and Taylor Swift, whom she even gave songwriting creds on her hits “good 4 u” and “deja vu,” respectively.

And Olivia Rodrigo isn’t the only one riding the nostalgia wave. Generation Z is leading the trend, whether it be in the music they gravitate towards or their fashion preferences. There is a collective longing for simpler times that’s so specific to Gen Z because they are growing up in a time of rapid, chaotic change in the world, so they love things that capture a sense of nostalgia.";"Affinity for Nostalgia
If you’re a millennial who has felt a connection to Olivia Rodrigo’s music because of how much it reminds you of what you listened to growing up, then you’re not alone. The Fil-Am musician draws influences from the likes of millennial favorites Paramore and Taylor Swift, whom she even gave songwriting creds on her hits “good 4 u” and “deja vu,” respectively.

And Olivia Rodrigo isn’t the only one riding the nostalgia wave. Generation Z is leading the trend, whether it be in the music they gravitate towards or their fashion preferences. There is a collective longing for simpler times that’s so specific to Gen Z because they are growing up in a time of rapid, chaotic change in the world, so they love things that capture a sense of nostalgia.";
;;;"This inclination for nostalgia is something brands and creators can learn from. Take a look around. Aesthetics from the 1990s and early 2000s have made a comeback!

Even a quick glimpse into Olivia Rodrigo’s aesthetic shows a heavy inspiration from the now-trendy Y2K style, first popularized in the early 2000s. The album cover for Sour is a great example of this, and so is the singer’s merch for her Guts Tour.";"This inclination for nostalgia is something brands and creators can learn from. Take a look around. Aesthetics from the 1990s and early 2000s have made a comeback!

Even a quick glimpse into Olivia Rodrigo’s aesthetic shows a heavy inspiration from the now-trendy Y2K style, first popularized in the early 2000s. The album cover for Sour is a great example of this, and so is the singer’s merch for her Guts Tour.";
;;;"Attention to Culture
Lastly, and most importantly, Olivia Rodrigo has an acute awareness of current culture that endears her to her audience. She has an intimate grasp of teenage struggles in an extremely online world because she herself has experienced them.

And though her lyrics tend towards self-deprecating at times, she is also perfectly capable of scathing criticism.";;
;;;"Generation Z are known as the “woke” generation because they are so socially and politically aware. They are not afraid to voice disapproval of public figures and brands that go against the principles they stand by, but they are also so willing to express support for those whose stances align with theirs.

During her debut Glastonbury performance in 2022, Olivia Rodrigo blasted the Supreme Court of the United States for overturning Roe v Wade, which previously legalized abortion in the U.S. She then dedicated her surprise performance of “F*** You” with Lily Allen to the Supreme Court justices involved in the decision.";;
;;;"So brands, creators, and influencers, if you want to remain in the good graces of the Gen Z audience, then you have to be well-versed in cultural goings-on. Be intentional about learning and responding to culture so as not to misstep.

When you aren’t sure if it’s the right time to take a stand or if it’s your place to do so at all, Kim Bode, owner of public relations firm 8THIRTYFOUR has a few notes: speak up—

When it matters to your customers,

When it is relevant on a local level, and

When it is simply the right thing to do.";;
;;;"Key Takeaway
Take notes from Olivia Rodrigo’s success and be authentic and approachable, learn to use nostalgia in your campaigns, and last but definitely not least, immerse yourself in current culture to know what matters in the wonderfully unscripted world of Generation Z.";"Key Takeaway
Take notes from Olivia Rodrigo’s success and be authentic and approachable, learn to use nostalgia in your campaigns, and last but definitely not least, immerse yourself in current culture to know what matters in the wonderfully unscripted world of Generation Z.";
Yahoo Entertainment;25 Mei 2024;Olivia Rodrigo Goes From Y2K to Cottagecore Overnight;Olivia Rodrigo has been embarking on her world tour for GUTS since February. After a stint in the States, she's now in Europe for the second leg of the global circuit. Over the weeks, her tour outfits have naturally included Y2K styles from graphic tees to micro mini shorts and fish nets. But the now-21-year-old pop star has been subtly experimenting with her off-duty fashion. While enjoying a day off in Amsterdam, she temporarily transitioned away from her beloved pop-punk style to cottagecore cues.;;https://www.yahoo.com/entertainment/olivia-rodrigo-goes-y2k-cottagecore-170140243.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAJNx_09mmHBQBgno8nLQssyPR8000N0y2BTHxwPnjs5JDJX3Yv6XqSdqxAi6xms1CUOTjnycHnlyzbou0iYGUTzQKz_C5jAgCCH_9OAS1Fs8qC2Nk72FSUrZxul8cx2Go8QKEsUmOGdibSBfIf1yD4xYZdBkJ1Jr4ac6sNuXxT3X
;;;Rodrigo recently showcased her whereabouts in an Instagram post on Friday, May 24. She was captured by photographer Miles Leav on a relaxing boat ride wearing a strappy white mini dress from LoveShackFancy. The deep V-neck style was decorated all over with eyelet detailing and finished with a stretchy smock panel at the waist.;;
;;;She opted out of the statement necklaces she's worn onstage, instead adding chunky charm bracelets and her favorite silver rings. To complete the look, she also wore tan knee-high boots, black Le Specs oval-shaped sunglasses, and a sailor hat.;;
;;;"Le Specs Work It Sunglasses

Rodrigo has become synonymous with nostalgic dressing, especially when it comes to '90s and early 2000s fashion—and her wardrobe on the GUTS tour, for the most part, has been no different. So far, Rodrigo has dominated the stage in cheeky, customized emblazoned tanks and visible bra straps.

The ""vampire"" singer enjoys more laid-back casual looks when she's not on the clock. For her daytime street-style appearances, she usually wears her favorite wardrobe staples, such as cozy knits, combat boots, and vintage bags. While Rodrigo's white dress is a subtle departure away from her usual styles, the musician keeps a few go-to frocks in her closet rotation, her favorites often hailing from brands like Reformation.

";"Le Specs Work It Sunglasses

Rodrigo has become synonymous with nostalgic dressing, especially when it comes to '90s and early 2000s fashion—and her wardrobe on the GUTS tour, for the most part, has been no different. So far, Rodrigo has dominated the stage in cheeky, customized emblazoned tanks and visible bra straps.

The ""vampire"" singer enjoys more laid-back casual looks when she's not on the clock. For her daytime street-style appearances, she usually wears her favorite wardrobe staples, such as cozy knits, combat boots, and vintage bags. While Rodrigo's white dress is a subtle departure away from her usual styles, the musician keeps a few go-to frocks in her closet rotation, her favorites often hailing from brands like Reformation.

";
teen VOGUE;14 Mei 2024;"Olivia Rodrigo: See Her Complete Style Evolution
From today to 2015.";"In just a few short months, Olivia Rodrigo went from Disney darling to international pop sensation. Her debut album, SOUR, put her on the map as a rising trailblazer and GUTS only further cemented her status as one of our generation's biggest pop stars. And with her powerful, beautifully painful voice also comes a unique style and sense of fashion. From tunes to threads, she is the ultimate full package.

Before the perfectly plaid ensembles, knee-high platform heels, and custom Dior runway moments, Olivia Rodrigo experimented with her style just like all of us until she found the aesthetic that perfectly fits her unique vision. Here, we take a trip down memory lane to relive her complete style evolution – from today to 2015.";;https://www.teenvogue.com/story/olivia-rodrigo-complete-style-evolution
;;;Olivia Rodrigo has been delivering looks onstage during her GUTS world tour, where she notoriously wears a different DIY tank top every night, but she is also keeping the rock star vibes going on the streets. For a night out in NYC before heading to Europe for the tour, Rodrigo opted for a sheer LBD paired with a classic red leather jacket for a pop of color and some distressed combat boots.;;
;;;In between schedules, Rodrigo opted for a more incognito, comfy 'fit, which she completed with a pair of Sambas and a black beanie.;;
;;;While out and about with bestie Conan Gray in NYC, Rodrigo stayed faithful to her tried-and-true outfit formula, opting for a pair of Dr. Martens brogues worn over white calf socks and sheer black tights, a plaid mini skirt, and a graphic tee. Also in NYC, she committed to the warm and cozy aesthetic with her trusty Jadon boots and a black JW Anderson bag. If you have accessories this good, you can just keep the rest simple.;;
;;;At the 2024 Grammys, Rodrigo stunned by wearing an archival gown from Versace's 1995 spring collection, which meant the piece was older than her.When it came time to perform her song “vampire,” Rodrigo changed into her Docs and a fitting satin red maxi dress from Indian-American designer Naeem Khan.;;
;;;Rodrigo had a bit more fun with her style to attend a The Hunger Games: The Ballad of Songbirds & Snakes reception in Los Angeles, donning a polka-dotted, silk wrap dress from Alessandra Rich and pointed patent flats with a slicked-back hairdo.;;
;;;Rodrigo linked up with Tate McRae for a Lakers game in L.A. wearing a Norma Kamali button-down vest mini dress from the '90s over a white tee and chunky loafers from UNIF paired with white socks. Rodrigo linked up with Tate McRae for a Lakers game in L.A. wearing a Norma Kamali button-down vest mini dress from the '90s over a white tee and chunky loafers from UNIF paired with white socks.;;
;;;During her stint as musical guest on SNL, Rodrigo performed “all-american b*tch” wearing a pale pink mini dress with knee-high socks and Dr. Martens boots. While the visible part of the 'fit was already 10/10, she took it to the next level unveiling a cheeky message on her underwear post-show.;;
;;;Before appearing on SNL, Rodrigo also had an appearance on The Tonight Show starring Jimmy Fallon, where she opted for a coquette look comprised of a ShuShu/Tong LBD complete with blue floral motifs and some Mary Jane pump from Christian Louboutin. Rodrigo also kept the black dress with floral prints vibes going at the Variety Hitmakers Brunch in Hollywood wearing Carolina Herrera and ShuShu/Tong shoes.Rodrigo made a case for LRDs at iHeartRadio z100's Jingle Ball 2023, opting for a vintage Versace dress from the brand's 1996 archive paired with the Dr. Martens 1B60 Bex Pisa leather knee-high boots.;;
;;;To perform at the same event, she later changed into a silver mini dress from Rabanne. You can never go wrong with a textured baby tee and flared black pants, and this NYC outing proves that. Olivia Rodrigo was on cheer duty during a game between the USC Trojans and the UCLA Bruins in Los Angeles, wearing a Trojans sweatshirt, jeans, and Docs.;;
;;;Olivia Rodrigo attended the 2023 GQ Men of the Year event in Los Angeles wearing a fringe LBD from Tom Ford and platform-heeled sandals from Valentino, which showed off her black pedi. She rewore the same shoes to attend the 38th Annual Rock & Roll Hall of Fame induction ceremony at Barclays Center in New York City, swapping the LBD for a Valentino halter-neck option with a rose detail. While performing at the event, she slipped into a pair of tiger-print pants and a black tank top. For the premiere of The Hunger Games: The Ballad Of Songbirds & Snakes in Los Angeles, Rodrigo opted for a custom dress from Rodarte covered in black sequins and featuring a floral neckline. During an appearance on Jimmy Kimmel Live!, Rodrio opted for a Coach lavender mini dress paired with By Far silver sandals and matching hoop earrings. While promoting GUTS, Rodrigo surprised fans with an intimate performance at the Grammy Museum in L.A. wearing silver Coach loafers, pinstripe gray pants, and a lavender knit top.;;
;;;If you thought this dress Rodrigo wore to a GUTS pop-up in NYC had major ‘90s vibes, you’d be right because it's a vintage Betsey Johnson confection from that era. Olivia Rodrigo wore a red and white shirt with Angelina Jolie's face on it from NYC-based brand Hellcat! paired with a pleated white skirt, white socks, and Miu Miu penny loafers for the ultimate cool-girl ensemble. For the 2023 MTV VMAs, Rodrigo opted for a custom-made Ludovic de Saint Sernin dress covered in Swarovski crystals.;;
;;;While performing at the event, she changed into a two-piece red set comprised of a pleated mini skirt and a bra top, which she paired with Converse sneakers and white leg warmers. She was clearly feeling leg warmers around this time because she wore another pair, this time black over Dr. Martens, during an appearance on the Today show. She paired them with a gray set from REMAIN. Rodrigo started her GUTS promotions strong on the other side of the pond wearing a ‘60s inspired monochromatic white ’fit consisting of a mini knit dress by Patou and knee-high boots by LOQ. Who can't forget Rodrigo's night out with Heartstopper star Joe Locke? The duo attended an event for The Face Magazine in London, where the singer chose a Magda Butrym halterneck mini dress and Manolo Blahnik mules for the occasion. For another night out in the British capital, she kept things much simpler with light-wash jeans, a black tee, and matching Tabi ballerina shoes. Also in London, Rodrigo wore a Pat Benatar concert tee paired with a Sandy Liang mini skirt and LABUCQ patent Mary Jane brogues over white socks.;;
;;;During a visit to SiriusXM, Rodrigo wore a butterfly knit tee by Acne Studios paired with an Aya Muse pleated skirt and the Jimmy Choo Elisa leather pumps. For a YouTube event in Los Angeles promoting “vampire,” Rodrigo opted for a silk LBD with bow details by Brandon Maxwell and black patent leather pumps by Valentino. Rodrigo attended a Met Gala after party wearing a vintage Chanel dress from 1994. She might love her Dr. Martens for days off, but these Converse All-Stars come a close second. Olivia Rodrigo attended the 2023 Vanity Fair Oscar Party, making a case for leopard print in her custom Valentino dress. To attend a Los Angeles Lakers game with her friend Iris Apatow. Rodrigo wore a pair on simple loafers with a sheer long-sleeved black shirt and some funky pattenered pants. For the 2023 Billboard Women in Music red carpet, Olivia went for a very Y2K look with a skintight tube top and low-rise pants. She kept the look simple and skipped major accessories, sporting – and this is where a major twist comes in – a horse graphic on her pants instead.;;
;;;Olivia Rodrigo attended the Universal Music Group's Grammy after party rocking a sequined black dress with a keyhole cutout from 16Arlington. She paired the LBD with some peep-toe platform heels and a black mani. Simple but effective. For the actual Grammys, Olivia hopped on the sheer trend by wearing another simple but effective black dress. The piece, described as a silk georgette gown, was custom-made by Miu Miu and was paired with black satin underwear and a Tiffany & Co. statement pendant necklace for the occasion. Just a day after Paco Rabanne's death was announced, Olivia attended the Clive Davis pre-Grammys gala wearing a mini dress from the Spanish designer's brand's spring 2014 ready-to-wear collection. The all-leather maroon number featured a daring slit on the side.;;
;;;Olivia made the case for sheer stockings at the 37th Annual Rock & Roll Hall of Fame Induction Ceremony at Microsoft Theater, pairing hers with some suspenders, a mini skirt, and Mary Jane pumps. Her full look was ShuShu/Tong. Olivia made the case for sheer stockings at the 37th Annual Rock & Roll Hall of Fame Induction Ceremony at Microsoft Theater, pairing hers with some suspenders, a mini skirt, and Mary Jane pumps. Her full look was ShuShu/Tong. Rodrigo attended the Givenchy in Paris wearing an all-white 'fit that combined lace and satin.;;
;;;Rodrigo graced the red carpet at the 2022 Canadian Songwriters Hall Of Fame Gala in Toronto wearing… PJs? Essentially yes — expect this lace and satin set is from Saint Laurent and costs almost $5K. Instead of a just-rolled-out-of-bed look, Rodrigo opted to give her lingerie look a high glamour twist, opting for a red lip, a matching black lace choker, and strappy heels. While out and about in NYC, a bare-faced Rodrigo was seen sporting her trusty Dr. Martens Jadon boots, a tartan skirt from Tripp NYC, and a very Y2K-esque baby tee from UNIF. She kept the accessories to a minimum with a pair of thin silver hoops.;;
;;;"When it comes to corsets, no one does it like Vivienne Westwood. Olivia Rodrigo knows this well. On August 24, the singer took to the stage at Madison Square Garden to perform Deja Vu"" and ""Uptown Girl"" alongside Billy Joel, wearing a vintage black leather corset from the British designer, sourced from Tab Vintage. The velvet corset is part of the brand’s Fall 1991 collection, which marked the first time Westwood showed in Paris — making the piece all the more coveted. (And, yes, this Vivienne Westwood is roughly 12 years older than Rodrigo herself!)";;
;;;"Though the corset was undoubtedly the star of the (fashion) show, Rodrigo completed the grunge-inspired look with a distressed mini skirt from Saint Sintra, sheer black tights, lace-up combat boots, a thick black choker, and a matching hair bow.
Rodrigo embraced the pajamas as outfits trend with this LBD. The all-black slip gown featured lace detailing along with very thin spaghetti straps. She paired the mini dress with matching loafers and white socks.Rodrigo attended the premiere of season 3 of High School Musical: The Musical: The Series, where she reunited with Johsua Bassett, wearing an LBD with cutout and transparencies from Nensi Dojaka and a leather choker by Christian Dior.
";;
;;;Rodrigo attended the 2022 MTV Movie & TV Awards, donning a vintage dress from Jean Paul Gaultier. Rodrigo was a Versace girl at the Met Gala 2022, continuing the strike even at the after parties. At the 2022 Grammys, Rodrigo rocked a custom gown by Vivienne Westwood covered in Swarovski crystals with black opera gloves. To perform, she slid into her boots and a ruffled dress by Givenchy over fishnet tights.;;
;;;"For a while, we have seen celebs the likes of Megan Fox and Kylie Jenner wearing bras as a top and now Rodrigo is hopping on the trend — kind of. In a recent photo dump posted to her Instagram, Rodrigo included a photo in which she is seen rocking her take on the trend.

While we are not entirely sure if Liv's is a bra — it looks more like a cropped, tiny cardigan — the effect is pretty much the same. Of course, for balance, Rodrigo paired the top with tiny sunglasses, a leather blazer, her trusty Chanel bag, an asymmetric plaid skirt, Dr. Martens, leg warmers, and an iced matcha latte. Icon behavior.";;
;;;Rodrigo attended the Billboard Women in Music event in Los Angeles, where she was awarded the Woman of the Year prize, wearing a dress from Area featuring a leather strapped corset. Is there a better way to ring in your 19th birthday than with a ‘90s-inspired cowboy ’fit? We don't think so! The star rocked a hot pink silk two-piece by N?dress with a pair of Mary Jane platform shoes from Naked Wolfe to celebrate her birthday in California. The finishing touch? A pastel pink cowboy hat that fittingly announced the arrival of the “Birthday Girl.” If you want to recreate Liv's look, you can get her skirt here and her oversleeve and camisole set here. London Calling, baby! Rodrigo landed on British soil with perhaps the most weather-appropriate ‘fit of all times. The singer kept warm and cozy with multiple layers and also took pattern and texture clashing to another level with the ’fit. While playing tourist in the English capital, the star donned a crocheted sweater, crocheted hat, a small bag on her shoulder, blue fishnet tights, and, of course, the OR staple: chunky shoes. (She is also wearing the Dasha Micro Skirt by Edikted under the layers.) The very definition of eclectic and we are loving every bit of it. (After all, you know what they say: When in Rome London…);;
;;;Yes, gorgeous, gorgeous girls are outfit repeaters — and, of course, Rodrigo is a gorgeous, gorgeous girl. On January 26, Rodrigo took to Instagram to share a few pics of the outfit she wore to Interscope’s 30th-anniversary exhibition at LACMA and we are spotting a familiar pair of boots. Yes, Rodrigo once again rocked the Marc Jacobs platform boots that once made her go viral, and, honestly, we love to see it. (The rest of her outfit, according to her stylists, is also from Marc Jacobs's Heaven line, which we know Liv loves.);;
;;;Rodrigo looked peak Olivia Rodrigo at the 2021 Teen Vogue Summit with a pair of Dr. Martens, of course. A big bow for Variety's Hitmakers event because she's a gift. (Her dress was Calvin Luo.). Another day, another YSL 'fit by Rodrigo. The star rocked a quintessential Saint Laurent look (black pointy pumps, black tights, and a tiny black dress) while attending Art Basel in Miami Beach with the brand. During the 2021 AMAs, Rodrigo looked stunning in her sequined and feathered periwinkle gown by David Koma. She paired the figure-hugging dress with some silver pumps that showed off her matching pedicure. During the 2021 AMAs, Rodrigo looked stunning in her sequined and feathered periwinkle gown by David Koma. She paired the figure-hugging dress with some silver pumps that showed off her matching pedicure.;;
